ID,Policy,Passenger Count,Trip Count,Profit,Fuel Efficiency
1,1,353,92,2976,0.191848
2,2,180,45,1531,0.2
3,3,143,29,1254,0.246552
4,4,138,24,1235,0.2875
5,5,131,19,1197,0.344737
6,6,161,21,1484,0.383333
7,7,63,9,576,0.35
8,8,72,9,666,0.4
9,9,112,10,1059,0.56
10,10,113,11,1063,0.513636
11,11,66,6,622,0.55
12,12,104,8,992,0.65
13,13,78,6,745,0.65
14,14,70,5,669,0.7
15,15,60,4,575,0.75
16,16,112,7,1078,0.8
17,17,102,6,984,0.85
18,18,54,3,522,0.9
19,19,114,6,1103,0.95
20,20,40,2,387,1
